,x,x_5,x_4,x_3,x_2,x_1,label,cites,author,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,citation,screened_titles,notes,screened_abstracts
72,54,54,54,1116,1116,1116,ref_030,6,"OA Michael, O Rotimi and IO Sandra",Performance of the Finnish Diabetes Risk Score (FINDRISC) Questionaire for Screening Individuals with Undiagnosed Type 2 Diabetes and Dysglycaemia in Nigeria,2017,Journal of Advances in …,journaljammr.com,http://www.journaljammr.com/index.php/JAMMR/article/view/10263,"https://scholar.google.com/scholar?cites=14704807050838145744&as_sdt=2005&sciodt=0,5&hl=en",30,31/07/2021 5:16,,,NA,NA,NA,NA,NA,NA,6,1.5,2,3,4,"… Risk of developing diabetes among healthcare workers in a Nigerian tertiary hospital … Community-based diabetes risk assessment in Ogun State, Nigeria (World Diabetes Federation … prevent or delay type 2 diabetes in people with impaired glucose tolerance: Systematic review …",http://www.journaljammr.com/index.php/JAMMR/article/download/10263/18417,"https://scholar.google.com/scholar?q=related:0Prdcxr4EcwJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2017&as_vis=1","OA Michael, O Rotimi et al. (2017) Performance of the Finnish Diabetes Risk Score (Findrisc) Questionaire for Screening Individuals with Undiagnosed Type 2 Diabetes and Dysglycaemia in Nigeria. <i>Journal of Advances in �</i>. ",selected,prevalence of prediabetes not reported,excluded
73,57,57,57,1130,1130,1130,ref_068,8,EM Joseph-Shehu and BP Ncama,Evaluation of health status and its predictor among university staff in Nigeria,2018,BMC cardiovascular disorders,Springer,https://link.springer.com/article/10.1186/s12872-018-0918-x,"https://scholar.google.com/scholar?cites=15120088702845585577&as_sdt=2005&sciodt=0,5&hl=en",68,31/07/2021 9:26,HTML,10.1186/s12872-018-0918-x,NA,NA,NA,NA,NA,NA,8,2.67,4,2,3,"… Federation, Nigeria has the highest number of people living with diabetes and impaired fasting glucose in Africa [19] … pressure, BMI, WHR RBS among university staff [31, 32] in LMICs such as Nigeria. It is unclear whether Nigerian have a high or low proportion of metabolic risk …",https://link.springer.com/article/10.1186/s12872-018-0918-x,"https://scholar.google.com/scholar?q=related:qQiCyZBY1dEJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1",EM Joseph-Shehu et al. (2018) Evaluation of Health Status and Its Predictor among University Staff in Nigeria. <i>Bmc Cardiovascular Disorders</i>. ,selected,prevalence of prediabetes not reported,excluded
74,58,58,58,1135,1135,1135,ref_073,0,EN Adejumo and OA Ogundahunsi…,Socio Demographic Determinants of Metabolic Syndrome and Its Components in South-West Nigeria,2017,Journal of Advances …,journaljammr.com,http://journaljammr.com/index.php/JAMMR/article/view/11936,,73,31/07/2021 9:26,,,NA,NA,NA,NA,NA,NA,0,0,0,3,4,"… pressure, obesity and impaired fasting glucose were the most common component of MetS [14], a Jamaican Study showed that decreased HDL-C was the most common while impaired fasting glucose and elevated triglycerides were rare. Studies from Nigeria showed obesity …",http://journaljammr.com/index.php/JAMMR/article/download/11936/21746,"https://scholar.google.com/scholar?q=related:PkWDig8ev-AJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1",EN Adejumo et al. (2017) Socio Demographic Determinants of Metabolic Syndrome and Its Components in South-West Nigeria. <i>Journal of Advances �</i>. ,selected,prevalence of prediabetes not reported,excluded
75,60,60,60,1138,1138,1138,ref_076,15,"GM Arugu, O Maduka",Risk factors for diabetes mellitus among adult residents of a rural district in southern Nigeria: implications for prevention and control,2017,Nigerian journal of clinical practice,ajol.info,https://www.ajol.info/index.php/njcp/article/view/166133,"https://scholar.google.com/scholar?cites=15797718881633907427&as_sdt=2005&sciodt=0,5&hl=en",76,31/07/2021 9:26,,,NA,NA,NA,NA,NA,NA,15,3.75,8,2,4,"… impaired fasting glucose in a rural community of Nigerian Niger Delta Region … Community based diabetes risk assessment in Ogun State, Nigeria (World Diabetes Foundation Project 08 … of cardiometabolic risk factors among a rural Yoruba South‑Western Nigerian population: A …",https://www.ajol.info/index.php/njcp/article/download/166133/155566,"https://scholar.google.com/scholar?q=related:4zJFeZ_FPNsJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1","GM Arugu, O Maduka (2017) Risk Factors for Diabetes Mellitus among Adult Residents of a Rural District in Southern Nigeria: Implications for Prevention and Control. <i>Nigerian Journal of Clinical Practice</i>. ",selected,prevalence of prediabetes not reported,excluded
76,61,61,61,1145,1145,1145,ref_107,2,"EI ONWUBUYA and NR UKIBE and OA KALU, O FIDELIA…","and assessment of lipid profile and fasting blood glucose levels among female premedical students at Nnamdi Azikiwe University, Nnewi Campus, Nigeria",2018,…,researchgate.net,https://www.researchgate.net/profile/Solomon-Ukibe-2/publication/326298244_Prevalence_of_overweight_and_obesity_and_assessment_of_lipid_profile_and_fasting_blood_glucose_levels_among_female_premedical_students_at_Nnamdi_Azikiwe_University_Nnewi_Campus_Nigeria/links/5b5201cb0f7e9b240ff20a79/Prevalence-of-overweight-and-obesity-and-assessment-of-lipid-profile-and-fasting-blood-glucose-levels-among-female-premedical-students-at-Nnamdi-Azikiwe-University-Nnewi-Campus-Nigeria.pdf,"https://scholar.google.com/scholar?cites=8343641765298498620&as_sdt=2005&sciodt=0,5&hl=en",107,31/07/2021 6:50,PDF,,NA,NA,NA,NA,NA,NA,2,0.67,0,5,3,… have documented the high incidence of impaired fasting glucose as well as impaired glucose tolerance [56-58] … Prevalence of metabolic syndrome in a rural community in Nigeria … Variations in the prevalence of point (pre)hypertension in a Nigerian school-going adolescent …,https://www.researchgate.net/profile/Solomon-Ukibe-2/publication/326298244_Prevalence_of_overweight_and_obesity_and_assessment_of_lipid_profile_and_fasting_blood_glucose_levels_among_female_premedical_students_at_Nnamdi_Azikiwe_University_Nnewi_Campus_Nigeria/links/5b5201cb0f7e9b240ff20a79/Prevalence-of-overweight-and-obesity-and-assessment-of-lipid-profile-and-fasting-blood-glucose-levels-among-female-premedical-students-at-Nnamdi-Azikiwe-University-Nnewi-Campus-Nigeria.pdf,"https://scholar.google.com/scholar?q=related:POy6ofqRynMJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1","EI ONWUBUYA et al. (2018) And Assessment of Lipid Profile and Fasting Blood Glucose Levels among Female Premedical Students at Nnamdi Azikiwe University, Nnewi Campus, Nigeria. <i>�</i>. ",selected,prevalence of prediabetes not reported,excluded
77,66,66,66,1494,1494,1494,ref_395,0,MM ABDULRASHEED,"FACTORS ASSOCIATED WITH HYPERTENSION AND PROTEINURIA AMONG COMMERCIAL MOTOR DRIVERS IN ZARIA, NIGERIA",2016,Faculty of INTERNAL …,dissertation.npmcn.edu.ng,http://www.dissertation.npmcn.edu.ng/index.php/FMCP/article/download/465/731,,395,31/07/2021 5:16,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,1,5,"… A total of 9 studies all from South-West region of Nigeria that fulfilled the inclusion criteria were retrieved. This may not be representative of all Nigerian geo-political zones, but only one zone fulfills the standard criteria used as at time of compilation …",http://www.dissertation.npmcn.edu.ng/index.php/FMCP/article/download/465/731,"https://scholar.google.com/scholar?q=related:1ZGLnb3JsbgJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2017&as_vis=1","MM ABDULRASHEED (2016) Factors Associated with Hypertension and Proteinuria among Commercial Motor Drivers in Zaria, Nigeria. <i>Faculty of Internal �</i>. ",selected,prevalence of prediabetes not reported,excluded
78,72,72,72,1841,1841,1841,ref_038,0,EN Adejumo and AO Adejumo…,Lipid ratios are not good predictors of insulin resistance among healthy adults from Southwest Nigeria,2020,New Zealand Journal of …,search.informit.org,https://search.informit.org/doi/abs/10.3316/INFORMIT.306083837484903,,38,31/07/2021 9:58,,10.3316/INFORMIT.306083837484903,NA,NA,NA,NA,NA,NA,0,0,0,3,1,… Our findings are similar to what has been reported in a Nigerian study (19) … of insulin resistance: A study among non-diabetic acute coronary syndrome patients with impaired fasting glucose … metabolic syndrome in a rural and urban community in South-West Nigeria using three …,https://www.nzimls.org.nz/user/file/7052/Lipid%20ratios%20are%20not%20good%20predictors%20of%20insulin%20resistance%20among%20healthy%20adults%20from%20Southwest%20Nigeria.pdf,"https://scholar.google.com/scholar?q=related:aupRK1AXqeUJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1",EN Adejumo et al. (2020) Lipid Ratios are not Good Predictors of Insulin Resistance among Healthy Adults from Southwest Nigeria. <i>New Zealand Journal of �</i>. ,selected,prevalence of prediabetes not reported,excluded
79,78,78,78,1860,1860,1860,ref_057,0,CAE COO,"Screening for Hypertension and Diabetes in an Underserved Population through Community Outreach; A Case of Rural Community in Enugu State, Nigeria",NA,researchgate.net,,https://www.researchgate.net/profile/Elias-Aniwada-2/publication/333379393_Screening_for_Hypertension_and_Diabetes_in_an_Underserved_Population_through_Community_Outreach_A_Case_of_Rural_Community_in_Enugu_State_Nigeria/links/5cf9cc25299bf13a38432c11/Screening-for-Hypertension-and-Diabetes-in-an-Underserved-Population-through-Community-Outreach-A-Case-of-Rural-Community-in-Enugu-State-Nigeria.pdf,,57,31/07/2021 9:58,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"… reported that Nigeria has the largest population of people living with diabetes and impaired fasting glucose in Africa … Type 2 diabetes in adult Nigerians: a study of its prevalence in Port Harcourt, Nigeria … A meta analysis of prevalence rate of hypertension in Nigerian populations …",https://www.researchgate.net/profile/Elias-Aniwada-2/publication/333379393_Screening_for_Hypertension_and_Diabetes_in_an_Underserved_Population_through_Community_Outreach_A_Case_of_Rural_Community_in_Enugu_State_Nigeria/links/5cf9cc25299bf13a38432c11/Screening-for-Hypertension-and-Diabetes-in-an-Underserved-Population-through-Community-Outreach-A-Case-of-Rural-Community-in-Enugu-State-Nigeria.pdf,"https://scholar.google.com/scholar?q=related:a-QTgFgHC1IJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1","CAE COO (NA) Screening for Hypertension and Diabetes in an Underserved Population Through Community Outreach; a Case of Rural Community in Enugu State, Nigeria. <i>Researchgate.net</i>. ",selected,prevalence of prediabetes not reported,excluded
80,81,81,81,1888,1888,1888,ref_113,10,II Chukwuonye and KA Ohagwu and OO Adelowo…,Prevalence and predictors of chronic kidney disease in a Semiurban Community in Lagos,2019,International journal of …,hindawi.com,https://www.hindawi.com/journals/ijn/2019/1625837/,"https://scholar.google.com/scholar?cites=16028131427324386370&as_sdt=2005&sciodt=0,5&hl=en",113,31/07/2021 6:50,HTML,,NA,NA,NA,NA,NA,NA,10,5,3,4,2,"… dL or a random blood glucose of 180 mg/dL or higher, was classified as diabetes mellitus, and impaired glucose tolerance was defined … of chronic kidney disease and its risk factors among adults in a semi-urban community of South-East Nigeria,” Nigerian Postgraduate Medical …",https://www.hindawi.com/journals/ijn/2019/1625837/,"https://scholar.google.com/scholar?q=related:Qtzxypxcb94J:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1",II Chukwuonye et al. (2019) Prevalence and Predictors of Chronic Kidney Disease in a Semiurban Community in Lagos. <i>International Journal of �</i>. ,selected,prevalence of prediabetes not reported,excluded
81,82,82,82,1909,1909,1909,ref_106,0,AC Nnamudi and NEJ Orhue and II Ijeh,Assessment of the FINDRISC tool in predicting the risk of developing type 2 diabetes mellitus in a young adult Nigerian population,2020,Bulletin of the National …,bnrc.springeropen.com,https://bnrc.springeropen.com/articles/10.1186/s42269-020-00440-7,,106,31/07/2021 9:58,HTML,10.1186/s42269-020-00440-7,NA,NA,NA,NA,NA,NA,0,0,0,3,1,The global prevalence of diabetes mellitus is assuming worrisome proportions even among children and young adults. This study is aimed at predicting the risk of developing type 2 diabetes mellitus in a young adult Nigerian population using the validated FINDRISC tool. Data on …,https://bnrc.springeropen.com/articles/10.1186/s42269-020-00440-7,"https://scholar.google.com/scholar?q=related:QgJavt2e2McJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1",AC Nnamudi et al. (2020) Assessment of the Findrisc Tool in Predicting the Risk of Developing Type 2 Diabetes Mellitus in a Young Adult Nigerian Population. <i>Bulletin of the National �</i>. ,selected,prevalence of prediabetes not reported,excluded
82,86,86,86,2259,2259,2259,ref_001,0,"A Issaka and AJ Cameron, Y Paradies and JB Kiwallo…",Associations between obesity indices and both type 2 diabetes and impaired fasting glucose among West African adults: Results from WHO STEPS surveys,2021,"Nutrition, Metabolism …",Elsevier,https://www.sciencedirect.com/science/article/pii/S0939475321002519,,1,31/07/2021 10:57,,,NA,NA,NA,NA,NA,NA,0,0,0,5,1,… Associations between obesity indices and both type 2 diabetes and impaired fasting glucose among West African adults: Results from WHO STEPS surveys … Keywords. Type 2 diabetes. Impaired fasting glucose. Obesity indices. West Africa. Introduction …,,,"A Issaka et al. (2021) Associations Between Obesity Indices and both Type 2 Diabetes and Impaired Fasting Glucose among West African Adults: Results from Who Steps Surveys. <i>Nutrition, Metabolism �</i>. ",selected,prevalence of prediabetes not reported,excluded
83,92,92,92,2424,2424,2424,ref_075,0,AE ETIOBONG,THE PREVALENCE OF DIABETES MELLITUS AMONG ADULTS IN A RURAL COMMUNITY IN NORTH CENTRAL NIGERIA,2006,Faculty of Family Medicine,dissertation.npmcn.edu.ng,http://www.dissertation.npmcn.edu.ng/index.php/FMCFM/article/view/339,,75,30/07/2021 22:37,,,NA,NA,NA,NA,NA,NA,0,0,0,1,15,"… the World Health Organization.17, 22In Nigeria, rural and urban population studies on the prevalence of diabetes have been carried out.20, 21, 23,24Most of these Nigerian studies were done more than ten years ago before the …",http://www.dissertation.npmcn.edu.ng/index.php/FMCFM/article/download/339/1724,https://scholar.google.com/scholar?q=related:tHEUKpUmwDoJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=2007&as_ylo=2000&as_yhi=2008,AE ETIOBONG (2006) The Prevalence of Diabetes Mellitus among Adults in a Rural Community in North Central Nigeria. <i>Faculty of Family Medicine</i>. ,selected,prevalence of prediabetes not reported,excluded
84,95,95,95,2954,2954,2954,ref_016,13,CU Osuji and BA Nzerem and CE Dioka and SC Meludu…,Prevalence of diabetes mellitus in a group of women attending “August meeting” at Naze South East Nigeria,2012,,scirp.org,https://www.scirp.org/html/8-4300111_22191.htm,"https://scholar.google.com/scholar?cites=3261605793870721121&as_sdt=2005&sciodt=0,5&hl=en",16,30/07/2021 23:01,HTML,,NA,NA,NA,NA,NA,NA,13,1.44,3,5,9,"… Nigerian Medical Journal, 51, 155-159 … Owoaje, EE, Rotimi, CN, Kaufman, JS, Tracy, J. and Cooper, RS (1997) Prevalence of adult diabetes in Ibadan, Nigeria … (1999) Prevalence of diabetes and impaired glucose tolerance in Nigerians, Jamaicans and US blacks …",https://www.scirp.org/html/8-4300111_22191.htm,"https://scholar.google.com/scholar?q=related:YTAFVTCNQy0J:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1",CU Osuji et al. (2012) Prevalence of Diabetes Mellitus in a Group of Women Attending �august Meeting” at Naze South East Nigeria. <i></i>. ,selected,prevalence of prediabetes not reported,excluded
85,97,97,97,3002,3002,3002,ref_095,3,IDMD GEZAWA,NORMATIVE ANTHROPOMETRIC VALUES AND GLUCOSE INTOLERANCE AMONG ADULTS IN MAIDUGURI NORTH-EASTERN NIGERIA,2010,Faculty of INTERNAL MEDICINE,dissertation.npmcn.edu.ng,http://dissertation.npmcn.edu.ng/index.php/FMCP/article/view/557,"https://scholar.google.com/scholar?cites=12257056768113992566&as_sdt=2005&sciodt=0,5&hl=en",95,30/07/2021 23:01,,,NA,NA,NA,NA,NA,NA,3,0.27,3,1,11,"… Africa. However, in a study of obesity among Nigerian adults living with diabetes … Puepet et al24 in a study of the prevalence of obesity among adults in urban Jos, north- central Nigeria showed that 24.4% of the subjects studied were either obese or overweight …",https://dissertation.npmcn.edu.ng/index.php/FMCP/article/download/557/642,"https://scholar.google.com/scholar?q=related:dmM7nzDQGaoJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1",IDMD GEZAWA (2010) Normative Anthropometric Values and Glucose Intolerance among Adults in Maiduguri North-Eastern Nigeria. <i>Faculty of Internal Medicine</i>. ,selected,prevalence of prediabetes not reported,excluded
86,98,98,98,3009,3009,3009,ref_109,0,OF ADEWOLU,GLYCOSYLATED HAEMOGLOBIN IN HEALTHY ADULT NIGERIANS IN BENIN METROPOLIS,2009,Faculty of Pathology,dissertation.npmcn.edu.ng,http://www.dissertation.npmcn.edu.ng/index.php/FMCPath/article/view/1263,,109,30/07/2021 23:01,,,NA,NA,NA,NA,NA,NA,0,0,0,1,12,… Page 15. 15 haemoglobin could probably be due to impaired glucose tolerance due to increasing insulin resistance … soup. Edo state of Nigeria.. Page 33. 33 CHAPTER 3 AIM: To determine glycated haemoglobin in healthy adult Nigerian men and women in Benin OBJECTIVES …,https://www.dissertation.npmcn.edu.ng/index.php/FMCPath/article/download/1263/1325,"https://scholar.google.com/scholar?q=related:N3KraBDIynsJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1",OF ADEWOLU (2009) Glycosylated Haemoglobin in Healthy Adult Nigerians in Benin Metropolis. <i>Faculty of Pathology</i>. ,selected,prevalence of prediabetes not reported,excluded
87,100,100,100,3519,3519,3519,ref_053,88,II Ulasi and CK Ijoma and OD Onodugo and EB Arodiwe…,Towards prevention of chronic kidney disease in Nigeria: a community-based study in Southeast Nigeria,2013,Kidney International …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2157171615311187,"https://scholar.google.com/scholar?cites=1713444761471650320&as_sdt=2005&sciodt=0,5&hl=en",53,31/07/2021 0:50,HTML,,NA,NA,NA,NA,NA,NA,88,11,18,5,8,… Meeting Report. Towards prevention of chronic kidney disease in Nigeria: a community-based study in Southeast Nigeria … End-stage renal disease (ESRD) accounts for 8% of all medical admissions and 42% of renal admissions in Nigeria …,https://www.sciencedirect.com/science/article/pii/S2157171615311187,"https://scholar.google.com/scholar?q=related:EIrFre5gxxcJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2014&as_vis=1",II Ulasi et al. (2013) Towards Prevention of Chronic Kidney Disease in Nigeria: a Community-Based Study in Southeast Nigeria. <i>Kidney International �</i>. ,selected,prevalence of prediabetes not reported,excluded
88,101,101,101,3521,3521,3521,ref_055,11,OA Abiodun and OA Jagun…,"Correlation between Body mass index, Waist Hip ratio, blood sugar levels and blood pressure in apparently healthy adult Nigerians",2014,IOSR J Dent …,publication.babcock.edu.ng,https://publication.babcock.edu.ng/asset/docs/publications/MBBS/9482/4341.pdf,"https://scholar.google.com/scholar?cites=4125815880362942896&as_sdt=2005&sciodt=0,5&hl=en",55,31/07/2021 0:50,PDF,,NA,NA,NA,NA,NA,NA,11,1.57,4,3,7,… Conclusion: BMI and WHR are positively correlated with RBS and blood pressure in Nigeria. The Nigerian population is therefore at risk of Obesity and its related conditions … Impaired glucose tolerance is highly prevalent in children and adolescents with severe obesity [23] …,https://publication.babcock.edu.ng/asset/docs/publications/MBBS/9482/4341.pdf,"https://scholar.google.com/scholar?q=related:sOGyBa_XQTkJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2014&as_vis=1","OA Abiodun et al. (2014) Correlation Between Body Mass Index, Waist Hip Ratio, Blood Sugar Levels and Blood Pressure in Apparently Healthy Adult Nigerians. <i>Iosr j Dent �</i>. ",selected,prevalence of prediabetes not reported,excluded
89,102,102,102,3530,3530,3530,ref_072,64,"F Kyari, A Tafida…",Prevalence and risk factors for diabetes and diabetic retinopathy: results from the Nigeria national blindness and visual impairment survey,2014,BMC Public …,bmcpublichealth.biomedcentral.com,https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-14-1299,"https://scholar.google.com/scholar?cites=3256075372196600813&as_sdt=2005&sciodt=0,5&hl=en",72,31/07/2021 0:50,HTML,10.1186/1471-2458-14-1299,NA,NA,NA,NA,NA,NA,64,9.14,21,3,7,"In Nigeria, urbanisation and increasing life expectancy are likely to increase the incidence of non-communicable diseases. As the epidemic of diabetes matures, visual loss from diabetic retinopathy (DR) will increase unless mechanisms for early detection and treatment improve …",https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-14-1299,"https://scholar.google.com/scholar?q=related:7RutsUznLy0J:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2014&as_vis=1","F Kyari, A Tafida… (2014) Prevalence and Risk Factors for Diabetes and Diabetic Retinopathy: Results from the Nigeria National Blindness and Visual Impairment Survey. <i>Bmc Public �</i>. ",selected,prevalence of prediabetes not reported,excluded
90,105,105,105,4531,4531,4531,ref_040,4,"YA Adeyemi and OO Onabanjo and SA Sanni, ...","Prevalence of metabolic syndrome among apparently healthy adults in Ogun state, Nigeria",2017,Nutrition & Food …,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/NFS-12-2016-0190/full/html,"https://scholar.google.com/scholar?cites=807550102577395967&as_sdt=2005&sciodt=0,5&hl=en",40,31/07/2021 5:16,,10.1108/NFS-12-2016-0190,NA,NA,NA,NA,NA,NA,4,1,1,4,4,,,"https://scholar.google.com/scholar?q=related:_7h0Kor-NAsJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2017&as_vis=1","YA Adeyemi et al. (2017) Prevalence of Metabolic Syndrome among Apparently Healthy Adults in Ogun State, Nigeria. <i>Nutrition & Food �</i>. ",selected,prevalence of prediabetes not reported,excluded
91,106,106,106,4539,4539,4539,ref_051,19,"AA Sabir, A Jimoh and SO Iwuala and SA Isezuo, ...",Metabolic syndrome in urban city of North-Western Nigeria: prevalence and determinants,2016,Pan African Medical …,ajol.info,https://www.ajol.info/index.php/pamj/article/view/131880,"https://scholar.google.com/scholar?cites=14357643877250915398&as_sdt=2005&sciodt=0,5&hl=en",51,31/07/2021 5:16,,,NA,NA,NA,NA,NA,NA,19,3.8,4,5,5,… Akintunde et al [13] found prevalence 35% among hypertensives in Nigerians … 2006 National population census. Federal Republic of Nigeria Official Gazette … Gender differences in the prevalence of impaired fasting glycaemia and impaired glucose tolerance in Mauritius …,https://www.ajol.info/index.php/pamj/article/download/131880/121480,"https://scholar.google.com/scholar?q=related:RlwaSwmZQMcJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2017&as_vis=1","AA Sabir, A Jimoh et al. (2016) Metabolic Syndrome in Urban City of North-Western Nigeria: Prevalence and Determinants. <i>Pan African Medical �</i>. ",selected,prevalence of prediabetes not reported,excluded
92,110,110,110,5221,5221,5221,ref_115,0,ANC Amadi and PAC Ndukwe…,Screening and Association between Diabetes Mellitus and Abo Blood Grouping in Amaoba Ikwuano and Amaba Ugwueke Abia State Nigeria,2018,Journal of Advances in …,journaljammr.com,http://journaljammr.com/index.php/JAMMR/article/view/12003,,115,31/07/2021 6:50,,,NA,NA,NA,NA,NA,NA,0,0,0,3,3,"… Ikwuano and Amaba Ugwueke Abia State Nigeria ANC Amadi1*, PAC Ndukwe1 and PE Agbai1 1Department of Zoology and Environment Biology, College of Natural Sciences, Michael Okpara Univeristy of Agriculture, Umudike, Nigeria. Authors' contributions …",https://journaljammr.com/index.php/JAMMR/article/download/12003/21889,"https://scholar.google.com/scholar?q=related:l-NLj3R_PyIJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1",ANC Amadi et al. (2018) Screening and Association Between Diabetes Mellitus and Abo Blood Grouping in Amaoba Ikwuano and Amaba Ugwueke Abia State Nigeria. <i>Journal of Advances in �</i>. ,selected,prevalence of prediabetes not reported,excluded
93,111,111,111,5958,5958,5958,ref_144,0,"TE Okoro, J Jumbo","Cardiovascular event risk estimation among residents of a rural setting in Bayelsa state, Nigeria",2021,American Journal of Cardiovascular Disease,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8303047/,,144,31/07/2021 7:13,HTML,,NA,NA,NA,NA,NA,NA,0,0,0,2,1,"… is mainly inhabited by the Ijaw tribe but is also home to other Nigerians and foreigners … Using a prevalence of 11% for CVD in Nigeria as reported by WHO [6], a … Diabetes mellitus and impaired glucose tolerance will be defined by random blood glucose of ≥ 11.1 and ≥ 7.8 mmol …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8303047/,,"TE Okoro, J Jumbo (2021) Cardiovascular Event Risk Estimation among Residents of a Rural Setting in Bayelsa State, Nigeria. <i>American Journal of Cardiovascular Disease</i>. ",selected,prevalence of prediabetes not reported,excluded
94,114,114,114,6431,6431,6431,ref_026,30,"ID Gezawa and FH Puepet and BM Mubi and AE Uloko, ...","Socio-demographic and anthropometric risk factors for type 2 diabetes in Maiduguri, North-Eastern Nigeria",2015,Sahel Medical …,smjonline.org,https://www.smjonline.org/article.asp?issn=1118-8561;year=2015;volume=18;issue=5;spage=1;epage=7;aulast=Gezawa,"https://scholar.google.com/scholar?cites=7554494762289492429&as_sdt=2005&sciodt=0,5&hl=en",26,30/07/2021 20:33,HTML,,NA,NA,NA,NA,NA,NA,30,5,6,5,6,"… 2, Magnitude of missed opportunities for prediabetes screening among non-diabetic adults attending the family practice clinic in Western Nigeria: Implication for diabetes prevention, Oluwaseun S. Ojo,Ademola O. Egunjobi,Adefemi …",https://www.smjonline.org/article.asp?issn=1118-8561;year=2015;volume=18;issue=5;spage=1;epage=7;aulast=Gezawa,"https://scholar.google.com/scholar?q=related:zXHQ-_X01mgJ:scholar.google.com/&scioq=prediabetes+nigeria&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2015&as_vis=1","ID Gezawa et al. (2015) Socio-Demographic and Anthropometric Risk Factors for Type 2 Diabetes in Maiduguri, North-Eastern Nigeria. <i>Sahel Medical �</i>. ",selected,prevalence of prediabetes not reported,excluded
